Lieux																						Périodes				Personnes		Zones		Notions		Chapitres		Types de lieux		Intro		Crédits
ID (ne pas modifier)	Relu 	 Relu Guillaume	Edité, prêt à publier (ok pour publier)	Nom	Adresse	Ville	 Arrondissement	Latitude	Longitude	Existe ou non	Texte	Sources	Périodes	Illustration	Credit illustration	Type de lieu (voir onglet "Types")	Auteur	Angle	Introduction lien article long	Lien article long	Tags CHAPITRES	Identifiant	Nom	Début	Fin	Identifiant	Nom	Identifiant	Nom	Identifiant	Nom	Identifiant	Nom	Identifiant	Nom	Type de paragraphe (paragraph ou annotation)	Contenu (html possible)	Ligne de crédits (html possible)
id	written	reviewed	publish	name	address	city	district	latitude	longitude	exists	text	sources	lifespan	photo	photo_credits	type	author	angle	long_read_intro	long_read	chapters	id	name	start_date	end_date	id	name	id	name	id	name	id	name	id	name	paragraph_type	text	credit_line
1	oui	OK	ok	Prémices de la révolution de Juillet	Palais-Royal	Paris	01	48.864848	2.337698	oui	Paris se réveille paisiblement et rien ne laisse présager l'ampleur des événements. Le 26 juillet 1830, des ordonnances royales sont publiées au petit matin&nbsp;: censure de la presse, dissolution de la Chambre, modification du système électoral… De timides attroupements se forment ; premiers troubles annonçant les <span data-link="12">Trois Glorieuses</span> (27, 28, 29&nbsp;juillet) qui feront tomber <span data-person="charles-x">Charles X</span> et couronneront <span data-person="louis-philippe">Louis-Philippe</span>.</br></br>En cette chaude journée d'été, le nouvelle des ordonnances tarde à se répandre, la tension monte lentement. <span data-source="1">Des jeunes les lisent à haute voix dans le jardin du Palais-Royal.</span> <span data-source="2">A ce stade, le malaise est surtout bourgeois, les classes populaires sont encore invisibles.</span> <i>«Le lundi [est un jour de repos] pour une partie des ouvriers parisiens,</i> <span data-source="3">explique l'historien David Pinkney.</span> <i> [...] Beaucoup se retrouv[ent] dans les guinguettes au-delà des barrières [de la ville].»</i> Là-bas, des typographes commencent à se réunir. <i>«Véritable élite ouvrière,</i> <span data-source="4">précise Jean-Claude Caron</span>, <i> [ils] deviennent des agents de mobilisation auprès d'autres catégories [de travailleurs].» </i><br></br><i>«Après le dîner,</i> <span data-source="5">poursuit Pinkney</span>, <i>la foule habituelle des soirs d'été [se rassemble encore au Palais-Royal]. De petits groupes se form[ent] ça et là, dans des cafés, devant des cabinets de lecture...»</i> Après l'arrivée d'un commissaire voulant saisir les presses dans une boutique à l'extrémité sud du jardin, les mécontents affluent. Vers 22h30, la gendarmerie fait évacuer le parc. Les manifestants sont désormais sur la place du Palais-Royal, puis remontent la rue de Rivoli, brisant les lanternes en criant <i>«A bas les ministres !» «Vive la Charte !»</i> (document faisant office de Constitution à cette époque). <span data-source="6">Dans la soirée, la voiture du chef du gouvernement, Polignac, recevra quelques pierres près du boulevard des Capucines.</span></br></br> Le 27 juillet, tout s'accélère. Les classes laborieuses gagnent en visibilité&nbsp;: aux étudiants se joignent des <i>«ouvriers (en particulier typographes), commis [qui] se rassemblent entre le Palais-Royal, la place des Victoires et la Bourse,</i> <span data-source="7">raconte Emmanuel Fureix.</span> <i>[Ils sont] vite réprimés par la gendarmerie. La fermeture des imprimeries et la saisie des presses des journaux rebelles [...] mobilisent une fraction politisée des [travailleurs] parisiens. Les premiers morts accélèrent la construction de barricades - dont la dernière occurence remonte à 1827 - et renforcent une mobilisation populaire étendue bien au-delà de l'élite ouvrière éclairée.»</i> Le même jour, 44&nbsp;journalistes dont Pierre Leroux <i>(le Globe)</i> et le futur bourreau de la Commune de 1871, Adolphe Thiers <i>(le National)</i>, publient un texte de protestation écrit la veille&nbsp;: <span data-source="8"><i>«Le gouvernement a perdu le caractère de légalité qui commande l'obéissance. Nous lui résistons pour ce qui nous concerne&nbsp;; c'est à la France à juger jusqu'où doit s'étendre sa propre résistance.»</i></span>	<span class="source">David H. Pinkney, <i>la Révolution de 1830 en France, </i>Presses universitaires de France, Paris, 1988 (1e éd. Princeton University Press, 1972), p.105.</span>  <span class="source">Emmanuel Fureix, «Les Trois Glorieuses : jeux d'échelles et inscription transnationale» dans Sylvie Aprile (dir.), Jean-Claude Caron (dir.), Emmanuel Fureix (dir.), <i>la Liberté guidant les peuples, les révolutions de 1830 en Europe,</i>, Champ Vallon, coll. Epoques, Paris, 2013, p.62.</span>  <span class="source">David H. Pinkney, op.cit., p.105.</span>  <span class="source">Jean-Claude Caron, <i>Trois Jours qui ébranlèrent la monarchie,</i> Larousse, Paris, 2010, pp.76-77.</span>  <span class="source">David H. Pinkney, op.cit., pp.115-116.</span>  <span class="source">Jean-Claude Caron, op.cit., p.77.</span>  <span class="source">Emmanuel Fureix, op.cit., p.62. Sur la révolution de 1830, lire aussi Nathalie Jakobowitcz, <i>1830, le Peuple de Paris, révolution et représentations sociales,</i> Presses universitaires de Rennes, 2009.</span>  <span class="source"><i>Le National,</i> n°206, 27 juillet 1830 : https://gallica.bnf.fr/ark:/12148/bpt6k1514705c?rk=42918;4</span>	26/07/1830 - 27/07/1830	http://medias.liberation.fr/photo/1197470-id-01.jpg	Le 26 juillet 1830, dans le jardin du Palais-Royal, des Parisiens en colère lisent à haute voix les ordonnances promulguées par Charles X. (Estampe de Bichebois aîné. Bibliothèque nationale de France)	revolution	<a href="https://www.liberation.fr/auteur/15271-gabriel-pornet">Gabriel Pornet</a>					monarchie-de-juillet	Monarchie de Juillet (1830-1848)	01/01/1830	21/2/1848	charles-x	Charles X	rue-de-rivoli	Rue de Rivoli			commune	La Commune	revolution	Révolutions-Insurrections-Actions armées	paragraph	On sait où ont dormi et travaillé les puissants, les rois, les «grands hommes» (rarement les grandes femmes). Mais les insurgés, les ouvriers, les paysans, les domestiques, les immigrés, les marginaux… les zones d’ombre restent immenses. Pour apporter une pierre à l’édifice, <i>Libération</i> se lance dans une cartographie historique du Paris populaire de 1830 à 1980, des bornes que nous avons choisies car elles correspondent à deux symboles : de juillet 1830, première «révolution depuis la révolution», à 1980, lorsque la désindustrialisation est massive.	Projet et textes&nbsp;: <a href="https://www.liberation.fr/auteur/12803-damien-dole">Damien Dole</a> et <a href="https://www.liberation.fr/auteur/15271-gabriel-pornet">Gabriel Pornet</a>, avec <a href="https://www.liberation.fr/auteur/4650-frederique-fanchette">Frédérique Fanchette</a> et <a href="https://www.liberation.fr/auteur/15417-guillaume-lecaplain">Guillaume Lecaplain</a>
2	oui	OK	ok	Bureaux provisoires du journal «la Voix des femmes»	29, rue des Bons-Enfants	Paris	01	48.864637	2.339268	non	Centraliser les revendications des citoyennes. C'est l'objectif que se fixe le journal <i>la Voix des femmes,</i> fondé en mars 1848 par <span data-source="1">Eugénie Niboyet</span>, 51 ans, femme de lettres influencée par les idées <span data-link="24">saint-simoniennes</span><span data-person="saint-simon"></span> et <span data-source="2"><span data-person="charles-fourier">fouriéristes</span>.</span> Les bureaux provisoires sont établis pendant deux semaines au 29, rue des Bons-Enfants (cette portion n'existe plus aujourd'hui), puis au <span data-link="73">8, rue Neuve-Trévise</span>. Les militantes <span data-source="3">Jeanne Deroin</span> (42 ans, ancienne lingère) et <span data-source="4">Désirée Gay</span> (37 ans, ancienne couturière) deviennent secrétaire générale de la société et vice-présidente.</br></br>La publication est sous-titrée <i>«Journal socialiste et politique, organe des intérêts de toutes»</i>. <i>«Ce sont les mères qui prennent dans</i> la Voix <i>le devant de la scène,</i> <span data-source="5">explique l'historienne Michèle Riot-Sarcey.</span> <i>La mère, éducatrice naturelle de l'enfant, dévouée à sa famille, doit participer au progrès commun en se dévouant à la Patrie, la République&nbsp;; […] mais pour ce faire, des droits doivent être accordés à celles qui donnent des "citoyens dans l'Etat" et "des chefs à la famille".»</i> Elles réclament l'amélioration de l'éducation, l'organisation du travail et le droit de vote des femmes, notamment dans l'édition du 27 mars 1848&nbsp;: <span data-source="6"><i>«Dire aux femmes&nbsp;: vous n'êtes pas électeurs, vous n'êtes pas éligibles, et vous ne le serez pas, et nous ne voulons pas que vous le soyez, c'est refuser d'établir l'Egalité tout en la proclamant.»</i></span>	<span class="source">Notice «Eugénie Niboyet», revue et complétée par Luce Czyba, dans le dictionnaire Maitron : http://maitron-en-ligne.univ-paris1.fr/spip.php?article24354</span>  <span class="source">Doctrine inspirée de la pensée de Charles Fourier. Lire sa notice écrite par Jonathan Beecher dans le dictionnaire Maitron : http://maitron-en-ligne.univ-paris1.fr/spip.php?article31116</span>  <span class="source">Notice «Jeanne Deroin», revue et corrigée par Michèle Riot-Sarcey, dans le dictionnaire Maitron : http://maitron-en-ligne.univ-paris1.fr/spip.php?article29854</span>  <span class="source">Notice «Désirée Gay» écrite par Jacques Cana dans le dictionnaire Maitron : http://maitron-en-ligne.univ-paris1.fr/spip.php?article208779</span>  <span class="source">Michèle Riot-Sarcey, <i>la Démocratie à l'épreuve des femmes, trois figures critiques du pouvoir, 1830-1848,</i> Bibliothèque Albin Michel, coll. Histoire, Paris, 1994, op.cit., p.192.</span><  <span class="source"><i>La Voix des femmes,</i> n°7, 27 mars 1848 : https://gallica.bnf.fr/ark:/12148/bpt6k898641m.item</span>	20/03/1848 - 04/04/1848			journal	<a href="https://www.liberation.fr/auteur/15271-gabriel-pornet">Gabriel Pornet</a>					seconde-republique	Seconde République (1848-1852)	22/2/1848	1/12/1852	louis-philippe	Louis-Philippe	quartier-latin	Quartier Latin			zone	La Zone	usine	Usines-Fabriques-Ateliers	paragraph	Parsemée de points cliquables et sourcés, cette carte forcément non exhaustive fera l’objet de mises à jour thématiques régulières. Nous commençons notre travail par Paris intra-muros même si la capitale ne s’arrête pas, selon nous, aux frontières délimitées par la loi d’avril 1919, mais regroupe toute son agglomération. Notre souci d’obtenir une densité de points suffisante nous a malgré tout incités à commencer par le territoire enserré dans son périphérique. L’histoire populaire ne se limite, par ailleurs, évidemment pas à la capitale, et nous avons pour but de développer notre projet dans de nombreuses villes en France.	Réalisation&nbsp;: <a href="https://www.liberation.fr/auteur/18438-clara-dealberto">Clara Dealberto</a> (graphisme) et <a href="https://www.liberation.fr/libe-labo-data-nouveaux-formats,100538">Maxime Fabas</a> (développement)
3	oui	OK	ok	Assassinat de Jean Jaurès au Café du croissant	146, rue Montmartre	Paris	02	48.8692	2.3433	oui	Vendredi 31 juillet 1914. Au café du Croissant, rue Montmartre, <span data-person="jean-jaures">Jean Jaurès</span> dîne avec des collègues de <i>l'Humanité</i>. Le député socialiste prévoit ensuite de passer la nuit sur un article décisif contre la guerre, qu'il imagine comme un nouveau <i>J'accuse…&nbsp;!</i> Ce texte ne verra jamais le jour. A 21h40, <i>«le rideau qui sépare la salle de la rue se soulève. Deux coups de feu sont tirés presque à bout portant sur [lui], l'un le touche à la tête. […] Il est le premier mort d'une guerre qui va transformer le monde»,</i> <span data-source="1">raconte l'historien Vincent Duclert.</span> Le meurtrier est un étudiant nationaliste, Raoul Villain.</br></br>Dans son dernier article, publié le jour de son assassinat, <span data-source="2">Jaurès terminait ainsi</span> : <i>«Ce qui importe avant tout, c'est la continuité de l'action, c'est le perpétuel éveil de la pensée et de la conscience ouvrières. Là est la vraie sauvegarde, là est la garantie de l'avenir.»</i> Le jour de ses obsèques, <span data-source="3">le secrétaire général de la CGT, Léon Jouhaux, déclare</span> : <i>«Entre lui et nous, classe ouvrière, il n'y eut jamais de barrière. […] Avant d'aller vers le grand massacre, au nom des travailleurs qui sont partis, au nom de ceux qui vont partir, dont je suis, je crie devant ce cercueil toute notre haine de l'impérialisme et du militarisme sauvage qui déchaînent l'horrible crime.»</i>	<span class="source">Vincent Duclert, <i>Jaurès, la République,</i> Privat, Paris, 2014, p.388.</span>  <span class="source"><i>L'Humanité,</i> n°3557, 31 juillet 1914 : https://gallica.bnf.fr/ark:/12148/bpt6k253901k.item</span>  <span class="source">«A Jean Jaurès», discours prononcé aux obsèques par Léon Jouhaux, Paris, la Publication sociale, 1915, via http://www.histoiresocialedeslandes.fr/p3_impact_win02.asp</span>	31/07/1914			revolution	<a href="https://www.liberation.fr/auteur/15271-gabriel-pornet">Gabriel Pornet</a>					second-empire	Second Empire (1852-1870)	2/12/1852	03/09/1870	adolphe-thiers	Adolphe Thiers	zone	La Zone			test-1	Test Maxime (sera supprimé)	manifestation	Organisations-Réunions-Manifestations	paragraph	Dans le sillage de Philippe Boisseau et de son site Parisrévolutionnaire.com ou des ouvrages d’Alain Rustenholz, <i>Libération</i> veut permettre construire un pont avec les nombreux travaux des chercheurs, que nous souhaitons mettre en lumière autant que possible. Et si notre démarche est engagée, forcément subjective, elle n’a pas pour but d’écrire une contre-histoire caricaturale. Plutôt d'inviter chacun à déambuler à travers les lieux d'une «histoire par le bas».	Production&nbsp;: <a href="https://www.liberation.fr/libe-labo-data-nouveaux-formats,100538">Libé Labo</a> et <a href="https://www.liberation.fr/auteur/1961-guillaume-launay">Guillaume Launay</a>
4	oui	OK	ok	Section parisienne de l’Internationale	14, rue de la Corderie	Paris	03	48.8654655	2.3628654	oui	Il s'en est passé des choses dans ce bâtiment de quatre étages, toujours debout. Au rez-de-chaussée se trouvait un cabaret. Au premier étage, la salle Montié, qui accueillait des réunions : <span data-source="1">boulangers en 1872</span>, <span data-source="2">ouvriers chaudronniers en cuivre et ouvriers portefeuillistes en 1875</span>, <span data-source="3">peintres en bâtiment, maçons et maréchaux-ferrants en 1876</span>… Au troisième étage ont eu lieu de nombreuses réunions d'organisations ouvrières, comme l'Association internationale du travail qui y a son siège à partir de 1870 et qui y multiplie les rencontres lors de la Commune de 1871. La première Bourse du travail y <span data-source="4">trouve résidence</span>, sous l'impulsion d'Eugène Varlin, le 14 novembre 1869. Elle rassemble quelque 40&nbsp;000 ouvriers. Enfin, Louis Aragon raconte dans <em>les Cloches de Bâle</em> que le cortège funèbre de Paul et Laura Lafargue, deuxième fille de Karl Marx, est <span data-source="5">partie de cet immeuble en 1911</span>.	<span class="source"><i>le Petit Journal</i>, 25 avril 1872</span>  <span class="source"><i>le Rappel,</i> 2 octobre 1875</span>  <span class="source"><i>le Petit Parisien</i>, 5 novembre 1876</span>  <span class="source">Louis Bruhat, «Un militant ouvrier à la fin du Second Empire», Eugène Varlin in <i>la Pensée : revue du rationalisme moderne,</i> numéro 176, 1874, p. 73. https://gallica.bnf.fr/ark:/12148/bpt6k62021457/f75.item</span>  <span class="source">Louis Aragon, les Cloches de Bâle in <em>Œuvres, tome I,</em> Gallimard, 1997, p. 916.</span>	1869 - 1911			manifestation	<a href="https://www.liberation.fr/auteur/12803-damien-dole">Damien Dole</a>					siege-commune	Du Siège à la Commune de Paris (1870-1871)	04/09/1870	28/05/1871	saint-simon	Claude-Henri de Saint-Simon	faubourg-saint-antoine	Faubourg Saint-Antoine			test-2	Test Maxime (sera supprimé)	culture	Culture-Arts-Sports	annotation	Vous voyez une erreur ? Vous avez envie de partager un lieu d'histoire populaire, ou qu'on enquête dessus ? Envoyez un mail à <a href="mailto:histoirepop@liberation.fr">histoirepop@liberation.fr</a> ou rendez-vous sur Twitter (<a href="https://twitter.com/HistoirePop">@HistoirePop</a>).	
6	oui	OK	ok	Premiers rassemblements de la révolution de Février	Pont de la Concorde	Paris	08	48.8640103	2.3200824	oui	Dès le lever du jour, les rues sont anormalement agitées. Le 22 février 1848, malgré l'interdiction d'un banquet républicain, une manifestation éclate et la pluie n'arrête pas la colère des Parisiens. <span data-source="1">Le poète socialiste Louis Ménard raconte</span>&nbsp;: la foule, venue de la <span data-link="7">place de la Madeleine</span>, <i>«s'avance bientôt jusqu'à la place de la Concorde […], est arrêtée à l'entrée du pont par […] [la] garde municipale. Quelques jeunes gens forcent le passage ; la colonne les suit et envahit la Chambre, mais les députés n'étaient pas encore en séance, le Peuple se retira».</i> <span data-source="2">A partir de 16 heures, la situation dégénère.</span> Le pont est barré par la cavalerie puis la garde municipale sort les sabres et charge la place. Les manifestants jettent des pierres, puis se replient près des Champs-Elysées. Des barricades commencent à être dressées à travers la capitale.</br></br><span data-source="3">Selon l'historien Maurice Agulhon</span>, ces manifestants, venus <i>«de l'Est et du quartier Latin»</i> se sont rassemblés <i>«spontanément»,</i> malgré l'annulation du banquet par des organisateurs craignant les violences et la répression, <i>«c'est-à-dire à l'appel de dirigeants improvisés et sans doute aussi quelques cadres survivants des <span data-source="4">sociétés secrètes»</span></i>. La protestation se transformera en révolution. Après les journées <span data-link="8">des 23</span> et 24 février, le roi <span data-person="louis-philippe">Louis-Philippe</span> abdiquera et <span data-source="5">la Seconde République</span> sera proclamée.	<span class="source">Louis Ménard, <i>Prologue d'une révolution, février-juin 1848,</i> Au bureau du peuple, Paris, 1849, p.12 : https://gallica.bnf.fr/ark:/12148/bpt6k678948/f15.image Nouvelle édition présentée par Filippo Benfante et Maurizio Gribaudi, La Fabrique, Paris, 2007.</span>  <span class="source">Maurizio Gribaudi et Michèle Riot-Sarcey, <i>1848, la Révoution oubliée,</i> La Découverte, Paris, 2009., p.24.</span>  <span class="source">Maurice Aghulon, <i>1848, ou l'Apprentissage de la République, 1848-1852,</i> Seuil, coll. Nouvelle Histoire de la France contemporaine, Paris, 2002 (1e éd. 1973), p. 38.</span>  <span class="source">Sur les sociétés secrêtes, lire notamment Jean-Noël Tardy, <i>l'Age des ombres, compots, conspirations et sociétés secrètes au XIXe siècle, Les Belles Lettres,</i> Paris, 2015.</span>  <span class="source">Samuel Hayat, <i>Quand la République était révolutionnaire, citoyenneté et représentation en 1848,</i> Le Seuil, Paris, 2014.</span>	22/02/1848			revolution	<a href="https://www.liberation.fr/auteur/15271-gabriel-pornet">Gabriel Pornet</a>					entre-deux-siecles	Entre deux siècles (1871-1914)	29/05/1871	02/08/1914	charles-fourier	Charles Fourier							quotidien	Vie quotidienne-Logements			
7	oui	OK	ok	Premiers rassemblements de la révolution de Février	Place de la Madeleine	Paris	08	48.869507	2.324025	oui	Malgré l'interdiction d'un banquet républicain, le 22 février 1848 <i>«à 10 heures, des étudiants, au nombre de 150, partent de la place du Panthéon et se réunissent sur les quais à un cortège de plus de 2&nbsp;000 ouvriers descendus des faubourgs,</i> <span data-source="1">raconte le poète socialiste Louis Ménard.</span><i> La colonne se dirige, par la rue Saint-Honoré, vers la place de la Madeleine, aux cris de "Vive la réforme ! A bas <span data-person="françois-guizot">Guizot</span> !" </i>[président du Conseil des ministres, ndlr]<i>».</i> <span data-source="2">Daniel Stern (pseudonyme de la comtesse Marie d'Agoult) précise</span> :  <i>«Onze heures sonnent […] </i>la Marseillaise<i> [se fait entendre], entonnée à pleine poitrine par un colonne de 700 étudiants qui débouchent sur la place [de la Madeleine].»</i> La foule se rend sous la pluie vers la <span data-link="6">place de la Concorde</span>, <span data-source="3">envahit le Palais-Bourbon puis se retire. La garde charge la place, ailleurs des barricades sont montées.</span> <span data-source="4">La Seconde République sera proclamée</span> après les combats <span data-link="8">des 23</span> et 24 février conduisant à l'abdication du roi <span data-person="louis-philippe">Louis-Philippe</span>.	<span class="source">Louis Ménard, <i>Prologue d'une révolution, février-juin 1848,</i> Au bureau du peuple, Paris, 1849, pp.11-12 : https://gallica.bnf.fr/ark:/12148/bpt6k678948/f14.image Nouvelle édition présentée par Filippo Benfante et Maurizio Gribaudi, La Fabrique, Paris, 2007.</span>  <span class="source">Daniel Stern, <i>Histoire de la révolution de 1848,</i> Tome premier, Charpentier, Paris, 1862 (1e éd. 1850), pp. 167-168 : https://gallica.bnf.fr/ark:/12148/bpt6k235594/f184.image</span>  <span class="source">Maurizio Gribaudi et Michèle Riot-Sarcey, <i>1848, la Révoution oubliée,</i> La Découverte, Paris, 2009; p.24.</span>  <span class="source">Samuel Hayat, <i>Quand la République était révolutionnaire, citoyenneté et représentation en 1848 Paris, Le Seuil, 2014.</span>	22/02/1848	http://medias.liberation.fr/photo/1197467-id-07.jpg?modified_at=1550740654&width=644	Restes de barricades rue Royale, en février 1848. Cliché pris depuis l'église de la Madeleine par Hyppolite Bayard. Au loin la place de la Concorde. (Photo Société  française de photographie. AKG)	revolution	<a href="https://www.liberation.fr/auteur/15271-gabriel-pornet">Gabriel Pornet</a>					wwi	Première Guerre mondiale (1914-1918)	03/08/1914	11/11/1918	louis-auguste-blanqui	Louis Auguste Blanqui							experimentation	Expérimentations sociales			
8	oui	OK	ok	Fusillade et tournant de la révolution de Février	37-43, boulevard des Capucines	Paris	09	48.869969	2.328198	oui	Depuis l'interdiction du banquet républicain du <span data-link="6">22 février 1848</span>, la capitale se révolte. Le 23, le président du Conseil, <span data-person="françois-guizot">François Guizot</span>, annonce que le roi <span data-person="louis-philippe">Louis-Philippe</span> a chargé le comte Molé de former un nouveau cabinet. Les Parisiens font la fête. <i>«L'aspect des boulevards était féérique. Une longue guirlande de lumière diversement colorée, suspendue à tous les étages, unissait les maisons, joyeux emblèmes de l'union des cœurs»,</i> <span data-source="1">raconte <span data-person="daniel-stern">Daniel Stern</span> (pseudonyme de la comtesse Marie d'Agoult).</span></br></br>Pourtant, vers 21h30, tout bascule : sur le boulevard des Capucines, <i>«[une foule défile], composé[e] de prolétaires selon le journaliste Hippolyte Castille, de joyeux bourgeois, d'ouvriers et de soldats d'après les récits de Daniel Stern et [du poète socialiste] Louis Ménard,</i> <span data-source="2">expliquent les historiens Maurizio Gribaudi et Michèle Riot-Sarcey.</span> <i>A la hauteur du ministère des Affaires étrangères</i> <span data-source="3">[non loin de l'angle avec la rue des Capucines, ndlr]</span>, <i>la masse doit faire face à la troupe, il y a bousculade. […] La confusion règne : un coup de feu est tiré. Par qui ? Le cortège s'immobilise. Puis la troupe tire dans la foule.»</i> Un chariot de cadavres traverse les boulevards à la lumière des torches. <span data-source="4">On crit <i>«Vengeance&nbsp;!» «Aux armes&nbsp;!»</i></span> <span data-source="5">C'est le tournant de la révolution, qui aboutira à la proclamation de la Seconde République le 24 février.</span>	<span class="source">Daniel Stern, <i>Histoire de la révolution de 1848,</i>, Tome premier, Charpentier, Paris, 1862 (1e éd. 1850), p.196 : https://gallica.bnf.fr/ark:/12148/bpt6k235594/f212.image</span>  <span class="source">Maurizio Gribaudi et Michèle Riot-Sarcey, <i>1848, la Révoution oubliée,</i> La Découverte, Paris, 2009, pp.30-31.</span>  <span class="source">Hippolyte Castille, <i>Histoire de la Seconde République française, Tome premier, Victor Lecou, Paris, 1854, p.200 : https://gallica.bnf.fr/ark:/12148/bpt6k206890m/f208.image.r=hyppolyte%20castille%20histoire%20de%20la%20seconde%20r%C3%A9publique</span>  <span class="source">Maurizio Gribaudi et Michèle Riot-Sarcey, op.cit., p.34.</span>  <span class="source">Samuel Hayat, <i>Quand la République était révolutionnaire, citoyenneté et représentation en 1848,</i> Le Seuil, Paris, 2014.</span>	23/02/1848	http://medias.liberation.fr/photo/1197475-id-08.jpg	Sur le boulevard des Capucines, dans la soirée du 23 février 1848 (Lithographie au crayon un dessin de Hermann Raunheim et Jean Ch. E. Naissant. Bibliothéque nationale. AKG)	revolution	<a href="https://www.liberation.fr/auteur/15271-gabriel-pornet">Gabriel Pornet</a>					entre-deux-guerres	Entre deux guerres (1918-1939)	12/11/1918	02/09/1939	jean-jaures	Jean Jaurès							journal	Journaux			
9	oui	OK	ok	Bureau principal de la Banque du peuple	23-25, rue du Faubourg-Saint-Denis	Paris	10	48.8706	2.3530	maybe	Le siège de la société révolutionnaire créée par Pierre-Joseph Proudhon en janvier 1849 était établi au <span data-source="1">25, rue du Faubourg-Saint-Denis.</span> De nombreux bureaux de la Banque du peuple étaient répartis ailleurs dans la capitale, et des comités s'étaient aussi formés dans d'autres villes, <span data-source="2">explique à <i>Libération</i> l'historien Olivier Chaïbi.</span> <span data-source="3">Théoricien politique inclassable</span> élu député en juin 1848, le «père de l'anarchisme» a alors 39 ans. Il est convaincu que la révolution, forcément économique et sociale doit se faire sans violence, via l'établissement du crédit gratuit. Projet anticapitaliste basé sur la création d'une monnaie alternative (les bons de circulation), l'absence d'intérêt à l'exception des 2% nécessaires aux frais de fonctionnement, la Banque du peuple est soutenue par une grande partie du mouvement socialiste. Elle est destinée avant tout à aider les ouvriers, les artisans, les marchands… Malgré beaucoup d'adhésions, la structure n'a pas le temps de commencer ses activités et est liquidée par Proudhon après son arrestation en mars 1849. Si l'expérience fut un échec, elle a notamment inspiré les banques mutualistes et le Crédit coopératif. Aujourd'hui, ce sont les systèmes d'échanges locaux (SEL) qui se rapprochent le plus de son esprit.	<span class="source">D'après les plans parcellaires de la ville de Paris, l'emplacement correspond approximativement à l'actuel 23, rue du Faubourg-Saint-Denis.</span>  <span class="source">Olivier Chaïbi, <i>Proudhon et la Banque du peuple,</i> Connaissances et Savoirs, coll. Economie et Gestion-histoire, Paris, 2009.</span>  <span class="source">Pour plus d'informations, suivre les travaux de la Société Proudhon, une association de chercheurs qui étudient la pensée et l'histoire du philosophe anarchiste : http://www.proudhon.net/	01/1849 - 03/1849	http://p.calameoassets.com/140911172304-475815ada3afffb51a22d76d4e6caf17/p31.jpg	Carricature de Cham et prototype de bons émis en 1849. (Photo DR)	experimentation	<a href="https://www.liberation.fr/auteur/15271-gabriel-pornet">Gabriel Pornet</a>		L'historien Olivier Chaïbi a expliqué à <i>Libération</i> les dessous de cette expérimentation révolutionnaire.			wwii	Seconde Guerre mondiale (1939-1945)	03/09/1939	08/05/1945	louis-menard	Louis Ménard							hopital	Hôpitaux-Orphelinats-Prisons			
10	oui	OK	ok	Dernière barricade de la Commune	17, rue de la Fontaine-au-Roi	Paris	10	48.8685038	2.3700056	non	Une plaque, installée au 17, rue la Fontaine-au-Roi par le Parti socialiste en 1991, célèbre l'endroit où la dernière barricade de la Commune de Paris aurait rendu l'âme. Eugène Varlin, Théophile Ferré, Jean-Baptiste Clément et Ferdinand Gambon auraient fait partie de la soixantaine de fédérés qui la défendent jusqu'au bout, vers midi. Mais ce funeste symbole lui est «disputé» par une autre barricade un peu plus bas dans la rue ; et par une autre dans la rue Ramponneau, selon l'historien et communard <span data-person="prosper-olivier-lissagaray">Prosper-Olivier Lissagaray<span data-source="1"></span></span>, qui précise : <span data-source="2"><i>«Pendant un quart d'heure, un seul fédéré la défend. Trois fois il casse la hampe du drapeau versaillais arboré sur la barricade de la rue de Paris. Pour prix de son courage, le dernier soldat de la Commune réussit à s'échapper.»</i></span> <span data-source="3">L'historien Jacques Rougerie la situe également rue Ramponeau, à l'angle de la rue de Tourtille, et précise qu'elle est tombée vers 15 heures.</span><span data-source="4">Louise Michel raconte</span> : <i>«La Commune était morte, ensevelissant avec elle des milliers de héros inconnus.»</i> La rue de la Fontaine-au-Roi a ressurgi dans l'histoire tragique de Paris le 13 novembre 2015, lorsque des terroristes ont tiré sur les numéros 1 et 3, dans le bar A la bonne bière et le restaurant Casa Nostra, faisant cinq morts.	<span class="source">Notice «Lissagaray» dans le dictionnaire Maitron : http://maitron-en-ligne.univ-paris1.fr/spip.php?article24869</span>  <span class="source">Prosper-Olivier Lissagaray, <i>Histoire de la Commune de 1871</i>Prosper-Olivier Lissagaray, <i>Histoire de la Commune de 1871,</i> Dentu, Paris, 1896, p.382 : https://gallica.bnf.fr/ark:/12148/bpt6k36518g/f389.image Nouvelle édition : préface de Jacques Rougerie, Editions du Détour, Paris, 2018.</span>  <span class="source"><i>Paris insurgé, 1871,</i> 1995, dans <i>la Commune et les Communards,</i> Gallimard, Paris, 2018, p.86.</span>  <span class="source">Louise Michel, <i>la Commune. Histoire et souvenirs,</i> La Découverte, 1898, 1999, pp.243-244.</span>	28/05/1871	photo		revolution	<a href="https://www.liberation.fr/auteur/12803-damien-dole">Damien Dole</a>					apres-guerre	Après-guerre (1945-1980)	09/05/1945	31/12/1980	daniel-stern	Daniel Stern (Marie d'Agoult)											
